Year,Miami_HPI,Gold_USD,HPI_in_Gold
2006-04-01,,627.397,
2006-07-01,,621.4963333333334,
2006-10-01,,614.466,
2007-01-01,266.01,650.2686666666667,0.40907706865777527
2007-04-01,,667.446,
2007-07-01,,681.148,
2007-10-01,,788.0183333333334,
2008-01-01,222.76,926.7756666666668,0.2403602166220016
2008-04-01,,895.9520000000001,
2008-07-01,,869.5763333333334,
2008-10-01,,794.525,
2009-01-01,160.52,908.6543333333334,0.1766568365014492
2009-04-01,,921.505,
2009-07-01,,960.0646666666667,
2009-10-01,,1101.6396666666667,
2010-01-01,150.61,1108.9043333333332,0.13581874961861756
2010-04-01,,1195.6806666666669,
2010-07-01,,1226.5843333333332,
2010-10-01,,1367.4876666666667,
2011-01-01,141.98,1386.1333333333332,0.10242881877645248
2011-04-01,,1507.61,
2011-07-01,,1701.3,
2011-10-01,,1681.8,
2012-01-01,142.99,1691.6066666666666,0.08452910645106626
2012-04-01,,1612.3333333333333,
2012-07-01,,1656.47,
2012-10-01,,1717.6606666666667,
2013-01-01,158.73,1630.8346666666666,0.09733052849829044
2013-04-01,,1415.0780000000002,
2013-07-01,,1328.6193333333333,
2013-10-01,,1271.3173333333332,
2014-01-01,179.3,1293.31,0.13863652179291897
2014-04-01,,1288.7633333333333,
2014-07-01,,1280.7566666666667,
2014-10-01,,1199.4799999999998,
2015-01-01,196.84,1218.82,0.16150046766544693
2015-04-01,,1193.0200000000002,
2015-07-01,,1123.67,
2015-10-01,,1107.1433333333334,
2016-01-01,214.43,1180.8500000000001,0.1815895329635432
2016-04-01,,1259.8700000000001,
2016-07-01,,1334.48,
2016-10-01,,1220.7533333333333,
2017-01-01,231.25,1219.24,0.18966733374889275
2017-04-01,,1257.7266666666667,
2017-07-01,,1277.9833333333333,
2017-10-01,,1275.2866666666666,
2018-01-01,248.33,1328.8966666666668,0.18686930762110923
2018-04-01,,1306.5933333333332,
2018-07-01,,1212.6033333333335,
2018-10-01,,1228.8133333333335,
2019-01-01,260.62,1304.24,0.199825185548672
2019-04-01,,1309.55,
2019-07-01,,1474.6266666666668,
2019-10-01,,1481.5766666666666,
2020-01-01,271.45,1583.2333333333333,0.17145293386950755
2020-04-01,,1710.4333333333334,
2020-07-01,,1912.3533333333335,
2020-10-01,,1874.9966666666667,
2021-01-01,306.64,1797.7933333333333,0.1705646551883976
2021-04-01,,1814.9566666666667,
2021-07-01,,1789.42,
2021-10-01,,1796.3466666666666,
2022-01-01,374.91,1873.3833333333332,0.20012455183580513
2022-04-01,,1873.9766666666667,
2022-07-01,,1726.0266666666666,
2022-10-01,,1729.0233333333333,
2023-01-01,432.9,1888.3266666666666,0.22925058870463796
2023-04-01,,1978.2666666666667,
2023-07-01,,1928.5566666666666,
2023-10-01,,1975.5133333333333,
2024-01-01,474.83,2071.7633333333333,0.2291912364507529
